car_ID,enginesize,horsepower,citympg,highwaympg,price
1,130,111,21,27,13495
2,130,111,21,27,16500
3,152,154,19,26,16500
4,109,102,24,30,13950
5,136,115,18,22,17450
6,136,110,19,25,15250
7,136,110,19,25,17710
8,136,110,19,25,18920
9,131,140,17,20,23875
10,131,160,16,22,17859.167
11,108,101,23,29,16430
12,108,101,23,29,16925
13,164,121,21,28,20970
14,164,121,21,28,21105
15,164,121,20,25,24565
16,209,182,16,22,30760
17,209,182,16,22,41315
18,209,182,15,20,36880
19,61,48,47,53,5151
20,90,70,38,43,6295
21,90,70,38,43,6575
22,90,68,37,41,5572
23,90,68,31,38,6377
24,98,102,24,30,7957
25,90,68,31,38,6229
26,90,68,31,38,6692
27,90,68,31,38,7609
28,98,102,24,30,8558
29,122,88,24,30,8921
30,156,145,19,24,12964
31,92,58,49,54,6479
32,92,76,31,38,6855
33,79,60,38,42,5399
34,92,76,30,34,6529
35,92,76,30,34,7129
36,92,76,30,34,7295
37,92,76,30,34,7295
38,110,86,27,33,7895
39,110,86,27,33,9095
40,110,86,27,33,8845
41,110,86,27,33,10295
42,110,101,24,28,12945
43,110,100,25,31,10345
44,111,78,24,29,6785
45,90,70,38,43,8916.5
46,90,70,38,43,8916.5
47,119,90,24,29,11048
48,258,176,15,19,32250
49,258,176,15,19,35550
50,326,262,13,17,36000
51,91,68,30,31,5195
52,91,68,31,38,6095
53,91,68,31,38,6795
54,91,68,31,38,6695
55,91,68,31,38,7395
56,70,101,17,23,10945
57,70,101,17,23,11845
58,70,101,17,23,13645
59,80,135,16,23,15645
60,122,84,26,32,8845
61,122,84,26,32,8495
62,122,84,26,32,10595
63,122,84,26,32,10245
64,122,64,36,42,10795
65,122,84,26,32,11245
66,140,120,19,27,18280
67,134,72,31,39,18344
68,183,123,22,25,25552
69,183,123,22,25,28248
70,183,123,22,25,28176
71,183,123,22,25,31600
72,234,155,16,18,34184
73,234,155,16,18,35056
74,308,184,14,16,40960
75,304,184,14,16,45400
76,140,175,19,24,16503
77,92,68,37,41,5389
78,92,68,31,38,6189
79,92,68,31,38,6669
80,98,102,24,30,7689
81,110,116,23,30,9959
82,122,88,25,32,8499
83,156,145,19,24,12629
84,156,145,19,24,14869
85,156,145,19,24,14489
86,122,88,25,32,6989
87,122,88,25,32,8189
88,110,116,23,30,9279
89,110,116,23,30,9279
90,97,69,31,37,5499
91,103,55,45,50,7099
92,97,69,31,37,6649
93,97,69,31,37,6849
94,97,69,31,37,7349
95,97,69,31,37,7299
96,97,69,31,37,7799
97,97,69,31,37,7499
98,97,69,31,37,7999
99,97,69,31,37,8249
100,120,97,27,34,8949
101,120,97,27,34,9549
102,181,152,17,22,13499
103,181,152,17,22,14399
104,181,152,19,25,13499
105,181,160,19,25,17199
106,181,200,17,23,19699
107,181,160,19,25,18399
108,120,97,19,24,11900
109,152,95,28,33,13200
110,120,97,19,24,12440
111,152,95,25,25,13860
112,120,95,19,24,15580
113,152,95,28,33,16900
114,120,95,19,24,16695
115,152,95,25,25,17075
116,120,97,19,24,16630
117,152,95,28,33,17950
118,134,142,18,24,18150
119,90,68,37,41,5572
120,98,102,24,30,7957
121,90,68,31,38,6229
122,90,68,31,38,6692
123,98,68,31,38,7609
124,122,88,24,30,8921
125,156,145,19,24,12764
126,151,143,19,27,22018
127,194,207,17,25,32528
128,194,207,17,25,34028
129,194,207,17,25,37028
130,203,288,17,28,31400.5
131,132,90,23,31,9295
132,132,90,23,31,9895
133,121,110,21,28,11850
134,121,110,21,28,12170
135,121,110,21,28,15040
136,121,110,21,28,15510
137,121,160,19,26,18150
138,121,160,19,26,18620
139,97,69,31,36,5118
140,108,73,26,31,7053
141,108,73,26,31,7603
142,108,82,32,37,7126
143,108,82,28,33,7775
144,108,94,26,32,9960
145,108,82,24,25,9233
146,108,111,24,29,11259
147,108,82,28,32,7463
148,108,94,25,31,10198
149,108,82,23,29,8013
150,108,111,23,23,11694
151,92,62,35,39,5348
152,92,62,31,38,6338
153,92,62,31,38,6488
154,92,62,31,37,6918
155,92,62,27,32,7898
156,92,62,27,32,8778
157,98,70,30,37,6938
158,98,70,30,37,7198
159,110,56,34,36,7898
160,110,56,38,47,7788
161,98,70,38,47,7738
162,98,70,28,34,8358
163,98,70,28,34,9258
164,98,70,29,34,8058
165,98,70,29,34,8238
166,98,112,26,29,9298
167,98,112,26,29,9538
168,146,116,24,30,8449
169,146,116,24,30,9639
170,146,116,24,30,9989
171,146,116,24,30,11199
172,146,116,24,30,11549
173,146,116,24,30,17669
174,122,92,29,34,8948
175,110,73,30,33,10698
176,122,92,27,32,9988
177,122,92,27,32,10898
178,122,92,27,32,11248
179,171,161,20,24,16558
180,171,161,19,24,15998
181,171,156,20,24,15690
182,161,156,19,24,15750
183,97,52,37,46,7775
184,109,85,27,34,7975
185,97,52,37,46,7995
186,109,85,27,34,8195
187,109,85,27,34,8495
188,97,68,37,42,9495
189,109,100,26,32,9995
190,109,90,24,29,11595
191,109,90,24,29,9980
192,136,110,19,24,13295
193,97,68,33,38,13845
194,109,88,25,31,12290
195,141,114,23,28,12940
196,141,114,23,28,13415
197,141,114,24,28,15985
198,141,114,24,28,16515
199,130,162,17,22,18420
200,130,162,17,22,18950
201,141,114,23,28,16845
202,141,160,19,25,19045
203,173,134,18,23,21485
204,145,106,26,27,22470
205,141,114,19,25,22625
